name,terminology,code,term
bmi,SNOMED,162863004,Body mass index 25-29 - overweight (finding)
bmi,SNOMED,162864005,Body mass index 30+ - obesity (finding)
bmi,SNOMED,301331008,Finding of body mass index (finding)
bmi,SNOMED,310252000,Body mass index less than 20 (finding)
bmi,SNOMED,35425004,Normal body mass index (finding)
bmi,SNOMED,408512008,Body mass index 40+ - severely obese (finding)
bmi,SNOMED,412768003,Body mass index 20-24 - normal (finding)
bmi,SNOMED,427090001,Body mass index less than 16.5 (finding)
bmi,SNOMED,48499001,Increased body mass index (finding)
bmi,SNOMED,60621009,Body mass index (observable entity)
bmi,SNOMED,6497000,Decreased body mass index (finding)
bmi,SNOMED,722595002,Overweight in adulthood with body mass index of 25 or more but less than 30 (finding)
bmi,SNOMED,8.46931E+14,Baseline body mass index (observable entity)
bmi,SNOMED,9.14721E+14,Obese class I (body mass index 30.0 - 34.9) (finding)
bmi,SNOMED,9.14731E+14,Obese class II (body mass index 35.0 - 39.9) (finding)
bmi,SNOMED,9.14741E+14,Obese class III (body mass index equal to or greater than 40.0) (finding)
creat,SNOMED,1000731000000107,Serum creatinine level (observable entity)
creat,SNOMED,1000981000000109,Corrected plasma creatinine level (observable entity)
creat,SNOMED,1000991000000106,Corrected serum creatinine level (observable entity)
creat,SNOMED,1001011000000107,Plasma creatinine level (observable entity)
creat,SNOMED,1106601000000100,Substance concentration of creatinine in plasma (observable entity)
creat,SNOMED,1107001000000108,Substance concentration of creatinine in serum (observable entity)
creat,SNOMED,1109421000000104,Substance concentration of creatinine in plasma using colorimetric analysis (observable entity)
creat,SNOMED,1109431000000102,Substance concentration of creatinine in plasma using enzymatic analysis (observable entity)
creat,SNOMED,1109441000000106,Substance concentration of creatinine in serum using colorimetric analysis (observable entity)
creat,SNOMED,1109451000000109,Substance concentration of creatinine in serum using enzymatic analysis (observable entity)
creat,SNOMED,5.3641E+13,Corrected mass concentration of creatinine in plasma (observable entity)
egfr,SNOMED,1011481000000105,Estimated glomerular filtration rate using creatinine Chronic Kidney Disease Epidemiology Collaboration equation per 1.73 square metres (observable entity)
egfr,SNOMED,1011491000000107,Estimated glomerular filtration rate using cystatin C Chronic Kidney Disease Epidemiology Collaboration equation per 1.73 square metres (observable entity)
egfr,SNOMED,1020291000000106,Glomerular filtration rate calculated by abbreviated Modification of Diet in Renal Disease Study Group calculation (observable entity)
egfr,SNOMED,1107411000000104,Estimated glomerular filtration rate by laboratory calculation (observable entity)
egfr,SNOMED,80274001,Glomerular filtration rate (observable entity)
egfr,SNOMED,8.57971E+14,Estimated glomerular filtration rate using Chronic Kidney Disease Epidemiology Collaboration formula (observable entity)
egfr,SNOMED,8.57981E+14,Estimated glomerular filtration rate using Chronic Kidney Disease Epidemiology Collaboration formula per 1.73 square metres 
egfr,SNOMED,9.63601E+14,Estimated glomerular filtration rate using cystatin C Chronic Kidney Disease Epidemiology Collaboration equation (observable entity)
egfr,SNOMED,9.63611E+14,Estimated glomerular filtration rate using cystatin C per 1.73 square metres 
egfr,SNOMED,9.63621E+14,Estimated glomerular filtration rate using creatinine Chronic Kidney Disease Epidemiology Collaboration equation (observable entity)
