name,terminology,code,term
fatal_cerebrovascular_disease,ICD10,I664,Occlusion and stenosis of multiple and bilateral cerebral arteries
fatal_cerebrovascular_disease,ICD10,I668,Occlusion and stenosis of other cerebral artery
fatal_cerebrovascular_disease,ICD10,I669,Occlusion and stenosis of unspecified cerebral artery
fatal_cerebrovascular_disease,ICD10,I670,"Dissection of cerebral arteries, nonruptured"
fatal_cerebrovascular_disease,ICD10,I672,Cerebral atherosclerosis
fatal_cerebrovascular_disease,ICD10,I673,Progressive vascular leukoencephalopathy
fatal_cerebrovascular_disease,ICD10,I674,Hypertensive encephalopathy
fatal_cerebrovascular_disease,ICD10,I676,Nonpyogenic thrombosis of intracranial venous system
fatal_cerebrovascular_disease,ICD10,I677,"Cerebral arteritis, not elsewhere classified"
fatal_cerebrovascular_disease,ICD10,I678,Other specified cerebrovascular diseases
fatal_cerebrovascular_disease,ICD10,I679,"Cerebrovascular disease, unspecified"
fatal_cerebrovascular_disease,ICD10,I680,Cerebral amyloid angiopathy
fatal_ischaemic_heart_disease,ICD10,I230,Haemopericardium as current complication following acute myocardial infarction
fatal_ischaemic_heart_disease,ICD10,I231,Atrial septal defect as current complication following acute myocardial infarction
fatal_ischaemic_heart_disease,ICD10,I232,Ventricular septal defect as current complication following acute myocardial infarction
fatal_ischaemic_heart_disease,ICD10,I233,Rupture of cardiac wall without haemopericardium as current complication following acute myocardial infarction
fatal_ischaemic_heart_disease,ICD10,I234,Rupture of chordae tendineae as current complication following acute myocardial infarction
fatal_ischaemic_heart_disease,ICD10,I235,Rupture of papillary muscle as current complication following acute myocardial infarction
fatal_ischaemic_heart_disease,ICD10,I236,"Thrombosis of atrium, auricular appendage, and ventricle as current complications following acute myocardial infarction"
fatal_ischaemic_heart_disease,ICD10,I238,Other current complications following acute myocardial infarction
fatal_ischaemic_heart_disease,ICD10,I24,Other acute ischaemic heart diseases
fatal_ischaemic_heart_disease,ICD10,I240,Coronary thrombosis not resulting in myocardial infarction
fatal_ischaemic_heart_disease,ICD10,I241,Dressler syndrome
fatal_ischaemic_heart_disease,ICD10,I248,Other forms of acute ischaemic heart disease
fatal_hypertensive_disease,ICD10,I15,Secondary hypertension
fatal_hypertensive_disease,ICD10,I150,Renovascular hypertension
fatal_hypertensive_disease,ICD10,I151,Hypertension secondary to other renal disorders
fatal_hypertensive_disease,ICD10,I152,Hypertension secondary to endocrine disorders
fatal_hypertensive_disease,ICD10,I158,Other secondary hypertension
fatal_hypertensive_disease,ICD10,I159,"Secondary hypertension, unspecified"
fatal_ischaemic_heart_disease,ICD10,I20,Angina pectoris
fatal_ischaemic_heart_disease,ICD10,I200,Unstable angina
fatal_ischaemic_heart_disease,ICD10,I201,Angina pectoris with documented spasm
fatal_ischaemic_heart_disease,ICD10,I208,Other forms of angina pectoris
fatal_ischaemic_heart_disease,ICD10,I209,"Angina pectoris, unspecified"
fatal_ischaemic_heart_disease,ICD10,I21,Acute myocardial infarction
fatal_hypertensive_disease,ICD10,I10,Essential (primary) hypertension
fatal_hypertensive_disease,ICD10,I11,Hypertensive heart disease
fatal_hypertensive_disease,ICD10,I110,Hypertensive heart disease with (congestive) heart failure
fatal_hypertensive_disease,ICD10,I119,Hypertensive heart disease without (congestive) heart failure
fatal_hypertensive_disease,ICD10,I12,Hypertensive renal disease
fatal_hypertensive_disease,ICD10,I120,Hypertensive renal disease with renal failure
fatal_hypertensive_disease,ICD10,I129,Hypertensive renal disease without renal failure
fatal_hypertensive_disease,ICD10,I13,Hypertensive heart and renal disease
fatal_hypertensive_disease,ICD10,I130,Hypertensive heart and renal disease with (congestive) heart failure
fatal_hypertensive_disease,ICD10,I131,Hypertensive heart and renal disease with renal failure
fatal_hypertensive_disease,ICD10,I132,Hypertensive heart and renal disease with both (congestive) heart failure and renal failure
fatal_hypertensive_disease,ICD10,I139,"Hypertensive heart and renal disease, unspecified"
fatal_arrythmias_heart_failure,ICD10,I520,Other heart disorders in bacterial diseases classified elsewhere
fatal_arrythmias_heart_failure,ICD10,I521,Other heart disorders in other infectious and parasitic diseases classified elsewhere
fatal_arrythmias_heart_failure,ICD10,I528,Other heart disorders in other diseases classified elsewhere
fatal_cerebrovascular_disease,ICD10,I61,Intracerebral haemorrhage
fatal_cerebrovascular_disease,ICD10,I610,"Intracerebral haemorrhage in hemisphere, subcortical"
fatal_cerebrovascular_disease,ICD10,I611,"Intracerebral haemorrhage in hemisphere, cortical"
fatal_cerebrovascular_disease,ICD10,I612,"Intracerebral haemorrhage in hemisphere, unspecified"
fatal_cerebrovascular_disease,ICD10,I613,Intracerebral haemorrhage in brain stem
fatal_cerebrovascular_disease,ICD10,I614,Intracerebral haemorrhage in cerebellum
fatal_cerebrovascular_disease,ICD10,I615,"Intracerebral haemorrhage, intraventricular"
fatal_cerebrovascular_disease,ICD10,I616,"Intracerebral haemorrhage, multiple localized"
fatal_cerebrovascular_disease,ICD10,I618,Other intracerebral haemorrhage
fatal_arrythmias_heart_failure,ICD10,I501,Left ventricular failure
fatal_arrythmias_heart_failure,ICD10,I509,"Heart failure, unspecified"
fatal_arrythmias_heart_failure,ICD10,I510,"Cardiac septal defect, acquired"
fatal_arrythmias_heart_failure,ICD10,I511,"Rupture of chordae tendineae, not elsewhere classified"
fatal_arrythmias_heart_failure,ICD10,I512,"Rupture of papillary muscle, not elsewhere classified"
fatal_arrythmias_heart_failure,ICD10,I513,"Intracardiac thrombosis, not elsewhere classified"
fatal_arrythmias_heart_failure,ICD10,I515,Myocardial degeneration
fatal_arrythmias_heart_failure,ICD10,I516,"Cardiovascular disease, unspecified"
fatal_arrythmias_heart_failure,ICD10,I517,Cardiomegaly
fatal_arrythmias_heart_failure,ICD10,I518,Other ill-defined heart diseases
fatal_arrythmias_heart_failure,ICD10,I519,"Heart disease, unspecified"
fatal_arrythmias_heart_failure,ICD10,I52,Other heart disorders in diseases classified elsewhere
fatal_cerebrovascular_disease,ICD10,I619,"Intracerebral haemorrhage, unspecified"
fatal_cerebrovascular_disease,ICD10,I63,Cerebral infarction
fatal_cerebrovascular_disease,ICD10,I630,Cerebral infarction due to thrombosis of precerebral arteries
fatal_cerebrovascular_disease,ICD10,I631,Cerebral infarction due to embolism of precerebral arteries
fatal_cerebrovascular_disease,ICD10,I632,Cerebral infarction due to unspecified occlusion or stenosis of precerebral arteries
fatal_cerebrovascular_disease,ICD10,I633,Cerebral infarction due to thrombosis of cerebral arteries
fatal_cerebrovascular_disease,ICD10,I634,Cerebral infarction due to embolism of cerebral arteries
fatal_cerebrovascular_disease,ICD10,I635,Cerebral infarction due to unspecified occlusion or stenosis of cerebral arteries
fatal_cerebrovascular_disease,ICD10,I636,"Cerebral infarction due to cerebral venous thrombosis, nonpyogenic"
fatal_cerebrovascular_disease,ICD10,I638,Other cerebral infarction
fatal_cerebrovascular_disease,ICD10,I639,"Cerebral infarction, unspecified"
fatal_cerebrovascular_disease,ICD10,I64,"Stroke, not specified as haemorrhage or infarction"
fatal_ischaemic_heart_disease,ICD10,I210,Acute transmural myocardial infarction of anterior wall
fatal_ischaemic_heart_disease,ICD10,I211,Acute transmural myocardial infarction of inferior wall
fatal_ischaemic_heart_disease,ICD10,I212,Acute transmural myocardial infarction of other sites
fatal_ischaemic_heart_disease,ICD10,I213,Acute transmural myocardial infarction of unspecified sites
fatal_ischaemic_heart_disease,ICD10,I214,Acute subendocardial myocardial infarction
fatal_ischaemic_heart_disease,ICD10,I219,"Acute myocardial infarction, unspecified"
fatal_ischaemic_heart_disease,ICD10,I22,Subsequent myocardial infarction
fatal_ischaemic_heart_disease,ICD10,I220,Subsequent myocardial infarction of anterior wall
fatal_ischaemic_heart_disease,ICD10,I221,Subsequent myocardial infarction of inferior wall
fatal_ischaemic_heart_disease,ICD10,I228,Subsequent myocardial infarction of other sites
fatal_ischaemic_heart_disease,ICD10,I229,Subsequent myocardial infarction of unspecified site
fatal_ischaemic_heart_disease,ICD10,I23,Certain current complications following acute myocardial infarction
