name,terminology,code,term
creat,SNOMED,1000731000000107,Serum creatinine level (observable entity)
creat,SNOMED,1000991000000106,Corrected serum creatinine level (observable entity)
creat,SNOMED,1000981000000109,Corrected plasma creatinine level (observable entity)
creat,SNOMED,1001011000000107,Plasma creatinine level (observable entity)
creat,SNOMED,1106601000000100,Substance concentration of creatinine in plasma (observable entity)
creat,SNOMED,1107001000000108,Substance concentration of creatinine in serum (observable entity)
creat,SNOMED,1109421000000104,Substance concentration of creatinine in plasma using colorimetric analysis (observable entity)
creat,SNOMED,1109431000000102,Substance concentration of creatinine in plasma using enzymatic analysis (observable entity)
creat,SNOMED,1109441000000106,Substance concentration of creatinine in serum using colorimetric analysis (observable entity)
creat,SNOMED,1109451000000109,Substance concentration of creatinine in serum using enzymatic analysis (observable entity)
creat,SNOMED,53641000237107,Corrected mass concentration of creatinine in plasma (observable entity)
sbp,SNOMED,990151000000109,Measurement of blood pressure in right arm (procedure)
sbp,SNOMED,140241004,O/E - BP reading very high (finding)
sbp,SNOMED,75367002,Blood pressure (observable entity)
sbp,SNOMED,18352002,Abnormal systolic arterial pressure (finding)
sbp,SNOMED,271647008,Raised blood pressure (finding)
sbp,SNOMED,147836002,O/E - check high BP (finding)
sbp,SNOMED,140250002,O/E - BP labile (finding)
hba1c,SNOMED,1049301000000100,Haemoglobin A1c level (diagnostic reference range) - International Federation of Clinical Chemistry and Laboratory Medicine standardised (observable entity)
hba1c,SNOMED,1049321000000109,Haemoglobin A1c level (monitoring ranges) - International Federation of Clinical Chemistry and Laboratory Medicine standardised (observable entity)
hba1c,SNOMED,999791000000106,Haemoglobin A1c level - International Federation of Clinical Chemistry and Laboratory Medicine standardised (observable entity)
hba1c,SNOMED,1971000237103,Substance concentration of haemoglobin A1c diagnostic reference range in blood (observable entity)
hba1c,SNOMED,6181000237109,Substance concentration of haemoglobin A1c monitoring range in blood (observable entity)
hba1c,SNOMED,1107481000000106,Substance concentration of haemoglobin A1c in blood (observable entity)
